FROMDATE,TODATE,DAYPART,CHANNEL,PIVOT_SEQ,PIVOT_HDR1,PIVOT_DATA1
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,2,DayPart 1:Star Plus,9179
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,3,DayPart 1:SONY ENTERTAINMENT TV,2140
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,4,DayPart 1:Colors Viacom18,18828
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,5,DayPart 2:Z Zee TV,6112
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,6,DayPart 2:Star Plus,7936
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,7,DayPart 2:SONY ENTERTAINMENT TV,2149
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,8,DayPart 2:Colors Viacom18,12944
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,9,DayPart 3:Z Zee TV,6912
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,10,DayPart 3:Star Plus,5542
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,11,DayPart 3:SONY ENTERTAINMENT TV,2899
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,12,DayPart 3:Colors Viacom18,11142
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,13,DayPart 4:Z Zee TV,7337
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,14,DayPart 4:Star Plus,5195
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,15,DayPart 4:SONY ENTERTAINMENT TV,4165
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,16,DayPart 4:Colors Viacom18,8220
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,17,DayPart 5:Z Zee TV,6755
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,18,DayPart 5:Star Plus,6406
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,19,DayPart 5:SONY ENTERTAINMENT TV,4946
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,20,DayPart 5:Colors Viacom18,7505
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,21,DayPart 6:Z Zee TV,5995
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,22,DayPart 6:Star Plus,5780
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,23,DayPart 6:SONY ENTERTAINMENT TV,3655
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,24,DayPart 6:Colors Viacom18,6084
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,25,DayPart 7:Z Zee TV,4113
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,26,DayPart 7:Star Plus,4614
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,27,DayPart 7:SONY ENTERTAINMENT TV,3198
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,28,DayPart 7:Colors Viacom18,6134
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,29,DayPart 8:Z Zee TV,3600
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,30,DayPart 8:Star Plus,3803
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,31,DayPart 8:SONY ENTERTAINMENT TV,2650
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,32,DayPart 8:Colors Viacom18,5538
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,33,DayPart 9:Z Zee TV,2357
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,34,DayPart 9:Star Plus,3855
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,35,DayPart 9:SONY ENTERTAINMENT TV,2252
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,36,DayPart 9:Colors Viacom18,3321
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,37,DayPart 10:Z Zee TV,1622
