NUM_MARKET_KEY,CHV_MARKET_NAME,NUM_START_DATE_KEY,NUM_END_DATE_KEY,NUM_WEEK,NUM_V_CS_4,TVR_NUM_V_CS_4,NUM_V_M_CS_4_14,TVR_NUM_V_M_CS_4_14,NUM_V_F_CS_4_14,TVR_NUM_V_F_CS_4_14,NUM_V_M_CS_15_24,TVR_NUM_V_M_CS_15_24,NUM_V_F_CS_15_24,TVR_NUM_V_F_CS_15_24,NUM_V_M_CS_25_34,TVR_NUM_V_M_CS_25_34,NUM_V_F_CS_25_34,TVR_NUM_V_F_CS_25_34,NUM_V_M_CS_35_44,TVR_NUM_V_M_CS_35_44,NUM_V_F_CS_35_44,TVR_NUM_V_F_CS_35_44,NUM_V_M_CS_45_54,TVR_NUM_V_M_CS_45_54,NUM_V_F_CS_45_54,TVR_NUM_V_F_CS_45_54,NUM_V_M_CS_55,TVR_NUM_V_M_CS_55,NUM_V_F_CS_55,TVR_NUM_V_F_CS_55,NUM_V_CS_ANALOG,TVR_NUM_V_CS_ANALOG,NUM_V_CS_DIGITAL,TVR_NUM_V_CS_DIGITAL,NUM_V_S_SEC_A,TVR_NUM_V_CS_SEC_A,NUM_V_S_SEC_B,TVR_NUM_V_CS_SEC_B,NUM_V_S_SEC_C,TVR_NUM_V_CS_SEC_C,NUM_V_S_SEC_DE,TVR_NUM_V_CS_SEC_DE
27, Rajasthan 1 Mn+ ,20141228,20150103,1,314,3495.825049,46,3806.896551,31,3244.859813,47,3418.181818,39,3876.923076,28,2767.058823,26,3551.219512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,3495.825049,70,3161.290322,81,3385.074626,55,3480.225988,108,3868.656716
28, TN .1 to 1 Mn. ,20141228,20150103,1,991,4744.599601,92,4359.943582,88,3911.111111,92,4792.558139,126,5921.118881,75,3925.233644,94,4958.241758,90,5099.494097,93,5350.684931,63,4346.611909,80,6013.422818,51,4262.686567,48,4021.945137,883,4772.972972,0,0,98,4929.341317,158,4660.93064,245,4783.265543,490,4718.83061
29, TNrest 1 Mn.+ ,20141228,20150103,1,380,4538.926413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,5954.430379,0,0,0,0,0,0,0,0,296,4539.297124,84,4537.620578,65,4853.333333,101,3959.859976,101,5095.495495,113,4525.387365
30, UP .1 to 1 Mn. ,20141228,20150103,1,1251,3261.958714,230,3747.817652,163,3313.248638,133,2645.825932,133,3388.021228,92,2697.382198,132,4281.081081,72,2809.756097,105,3793.548387,78,3243.564356,40,2909.090909,47,2968.421052,26,2245.758354,604,2988.865979,647,3566.141732,230,3368.788142,313,3097.731958,301,3340.02642,406,3271.366906
31, UP 1 Mn.+ ,20141228,20150103,1,1172,3704.185871,172,3792.125984,164,4321.882352,121,2841.090146,139,3941.265822,84,3034.838709,115,4341.573033,60,3241.157556,76,3788.724035,68,3374.889217,63,4285.020242,63,4024.3346,45,3751.861042,0,0,1172,3704.185871,333,3957.83516,299,3347.684105,240,3897.535041,300,3685.557586
32, WB .1 to 1 Mn. ,20141228,20150103,1,423,3511.067193,0,0,0,0,0,0,0,0,33,2665.384615,41,3654.111405,29,2714.206128,0,0,0,0,0,0,46,4025,0,0,371,3476.185164,52,3781.818181,44,3213.913043,106,3913.846153,110,3216.710182,163,3581.948986
33, WBrest  1 Mn.+ ,20141228,20150103,1,134,3229.84218,0,0,0,0,0,0,19,3711.627906,11,3054.545454,0,0,0,0,0,0,0,0,0,0,0,0,12,3803.773584,118,3215.571776,16,3339.130434,16,2905.945945,22,3092.887029,36,3992.079207,60,3022.488755
34, GUJ L C I(WEF 30th Dec 2012) ,20141228,20150103,1,450,3288.386254,58,3237.209302,42,3185.553047,40,3000,41,3007.860262,35,3178.378378,44,3172.532188,43,4069.859154,35,3204.359673,26,3412.5,33,3745.945945,31,3530.847457,23,3193.388429,285,3356.466876,165,3175.257731,22,3105.882352,65,3033.333333,105,3062.5,259,3497.749196
35, MP L C I(WEF 30th Dec 2012) ,20141228,20150103,1,820,3319.918062,87,3577.968176,80,3541.501976,73,2725.333333,105,3785.407725,57,2682.352941,72,2997.769516,75,3433.242506,80,3785.915492,61,3583.216783,50,3716.814159,43,3239.461883,36,2641.048034,540,3331.619537,280,3297.581493,79,2654.4,172,3558.620689,180,3188.191881,389,3459.608258
36, PHCHP L C I(WEF 30th Dec 2012) ,20141228,20150103,1,773,3583.443708,72,3350.69252,71,3721.684867,71,3168.12749,82,3902.549575,50,2767.710049,78,3600,65,3627.906976,79,4173.584905,54,4014.159292,55,4026.14379,50,3300.58939,44,3406.451612,366,3158.089368,407,4077.280858,94,3174.271356,212,3258.554437,197,3889.07168,269,3823.350253
37, RAJ L C I(WEF 30th Dec 2012) ,20141228,20150103,1,563,2835.67681,70,3174.089068,0,0,60,2863.636363,57,2824.778761,46,2740.425531,54,2800,51,2750.561797,62,3214.814814,38,2484.046692,0,0,0,0,0,0,328,2958.604026,235,2680.244399,40,2210.526315,130,2723.192019,109,2524.052377,284,3170.232558
38, UP L C I(WEF 30th Dec 2012) ,20141228,20150103,1,1251,2537.035248,131,2624.68694,115,2591.549295,109,2118.218623,123,2520,99,2372.610556,146,2906.161137,112,2335.940409,125,2727.272727,103,2922.972972,99,3516.279069,40,1686.323713,48,1868.829663,535,2672.613737,716,2444.381223,101,2209.375,251,2649.575871,196,1815.715467,703,2872.877645
39, *Pune ,20141228,20150103,1,677,4365.227403,0,0,70,4307.692307,87,3929.032258,60,4165.289256,81,4483.69028,71,5208.733624,0,0,51,4733.701657,0,0,48,4962.461538,0,0,0,0,0,0,677,4365.227403,172,4435.303146,116,4379.325842,176,4132.494758,213,4506.801007
40, *Ahmedabad ,20141228,20150103,1,521,3566.748166,87,4317.872968,0,0,68,3615.189873,70,4396.261682,0,0,0,0,0,0,46,4046.073298,0,0,0,0,24,2986.666666,0,0,0,0,521,3566.748166,102,3430.63063,120,3603.217158,110,3663.032705,190,3584.503088
41, PCHP .1 to 1 Mn. ,20141228,20150103,1,484,3812.095639,67,3802.702702,67,5116.363636,51,3167.467652,55,4507.317073,31,2869.421487,33,3486.792452,40,4280.254777,34,4124.187725,0,0,24,3536.842105,32,3608.053691,28,3718.577075,0,0,464,3903.455182,58,3821.17647,115,3584.415584,111,3759.677419,201,4005.69395
42, Punjab 1Mn.+ ,20141228,20150103,1,354,3798.914084,0,0,0,0,36,3225.6,50,5316.455696,30,3189.873417,30,3847.328244,0,0,0,0,31,3960.456273,24,4406.557377,23,3054.545454,22,4649.056603,0,0,354,3798.914084,81,3967.346938,126,3952.941176,81,3576.346911,66,3623.529411
1, *Bangalore ,20141221,20141227,52,1118,5174.927675,108,4393.220338,93,4032,120,4699.300699,134,5854.876462,109,4889.719626,113,5424,61,4200,90,5684.210526,75,6086.956521,70,7127.272727,79,5795.633187,64,5956.786703,0,0,1118,5174.927675,222,4760.178685,316,4806.518786,295,5635.019897,284,5538.247243
2, *Calcutta ,20141221,20141227,52,1514,3888.876997,139,4104.042179,125,3753.351206,126,2954.361479,152,4206.919275,117,2925,133,4051.49592,93,3445.203969,130,4602.739726,80,3455.012853,107,4952.066115,171,4426.502311,140,4388.059701,0,0,1514,3888.876997,231,3580.0738,345,3936.162988,348,4247.293861,590,3801.342281
