NUM_DATE_KEY,NUM_CHANNEL_KEY,CHV_CHANNEL_NAME,CHV_CLASSIFICATION,NUM_YEARLY_BUDGET,NUM_LIKELY_BUDGET,DT_LOADING_DATE,NUM_DFBL_ID_KEY
20130210,300,ZEE CINEMA ASIA,Market Share,30,NULL,33:30.5,71
20130210,300,ZEE CINEMA ASIA,Movies / Events,140,NULL,33:30.5,71
20130310,305,ZEE MARATHI ASIA,Fiction,154,NULL,33:30.5,71
20130310,305,ZEE MARATHI ASIA,Market Share,29,NULL,33:30.5,71
20130310,305,ZEE MARATHI ASIA,Movies / Events,40,NULL,33:30.5,71
20130310,305,ZEE MARATHI ASIA,Non-Fiction,39,NULL,33:30.5,71
20130310,316,ZEE TV ASIA,Fiction,202,NULL,33:30.5,71
20130310,316,ZEE TV ASIA,Market Share,25.4,NULL,33:30.5,71
20130310,316,ZEE TV ASIA,Movies / Events,12,NULL,33:30.5,71
20130310,316,ZEE TV ASIA,Non-Fiction,43,NULL,33:30.5,71
20130310,297,ZEE BANGLA ASIA,Fiction,245,NULL,33:30.5,71
20130310,297,ZEE BANGLA ASIA,Market Share,38,NULL,33:30.5,71
20130310,297,ZEE BANGLA ASIA,Movies / Events,35,NULL,33:30.5,71
20130310,297,ZEE BANGLA ASIA,Non-Fiction,185,NULL,33:30.5,71
20130310,300,ZEE CINEMA ASIA,Market Share,30,NULL,33:30.5,71
20130310,300,ZEE CINEMA ASIA,Movies / Events,140,NULL,33:30.5,71
