RCLNT,RYEAR,DOCNR,RLDNR,RBUKRS,DOCLN,ACTIV,RMVCT,RTCUR,RUNIT,AWTYP,RRCTY,RVERS,LOGSYS,RACCT,COST_ELEM,RCNTR,PRCTR,RFAREA,RBUSA,KOKRS,SEGMENT,ZZZONE,SCNTR,PPRCTR,SFAREA,SBUSA,RASSC,PSEGMENT,TSL,HSL,KSL,OSL,MSL,WSL,DRCRK,POPER,RWCUR,GJAHR,BUDAT,BELNR,BUZEI,BSCHL,BSTAT,LINETYPE,XSPLITMOD,USNAM,KUNNR
300,2014,200000947,0L,2000,1,RFBU,,USD,,BKPF,0,1,,225003,,,20002M01,,1000,1000,,,,,,,,,-4563,-4563,-291347.55,0,0,-4563,H,9,USD,2014,00:00.0,200000947,1,17,,2000,X,20100028,1700097
300,2014,200000947,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225003,,,20002M01,,1000,1000,,,,,,,,,-9000,-9000,-588150,0,0,-9000,H,9,USD,2014,00:00.0,200000947,3,17,,2000,X,20100028,1700097
300,2014,200000947,0L,2000,4,RFBU,,USD,,BKPF,0,1,,225003,,,20002M01,,1000,1000,,,,,,,,,4684,4684,289237,0,0,4684,S,9,USD,2014,00:00.0,200000947,4,7,,2000,X,20100028,1700097
300,2014,200000948,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225023,,,20002M01,,1000,1000,,,,,,,,,-585,-585,-36554.54,0,0,-585,H,9,USD,2014,00:00.0,200000948,3,17,,2000,X,20100028,1700743
300,2014,200000949,0L,2000,1,RFBU,,USD,,BKPF,0,1,,225004,,,20002M01,,1000,1000,,,,,,,,,-16363.55,-16363.55,-1044812.67,0,0,-16363.55,H,9,USD,2014,00:00.0,200000949,1,17,,2000,X,20100028,1700123
300,2014,200000949,0L,2000,4,RFBU,,USD,,BKPF,0,1,,225004,,,20002M01,,1000,1000,,,,,,,,,-90000,-90000,-5537250,0,0,-90000,H,9,USD,2014,00:00.0,200000949,4,17,,2000,X,20100028,1700123
300,2014,200000949,0L,2000,5,RFBU,,USD,,BKPF,0,1,,225004,,,20002M01,,1000,1000,,,,,,,,,22484,22484,1388387,0,0,22484,S,9,USD,2014,00:00.0,200000949,5,7,,2000,X,20100028,1700123
300,2014,200000951,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225002,,,20002M01,,1000,1000,,,,,,,,,-139563,-139563,-8911097.55,0,0,-139563,H,9,USD,2014,00:00.0,200000951,3,17,,2000,X,20100028,1700349
300,2014,200000952,0L,2000,1,RFBU,,USD,,BKPF,0,1,,225004,,,20002M01,,1000,1000,,,,,,,,,-4940,-4940,-315419,0,0,-4940,H,9,USD,2014,00:00.0,200000952,1,17,,2000,X,20100028,1700102
300,2014,200000952,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225004,,,20002M02,,1000,1000,,,,,,,,,5020,5020,309985,0,0,5020,S,9,USD,2014,00:00.0,200000952,3,7,,2000,X,20100028,1700102
300,2014,200000952,0L,2000,4,RFBU,,USD,,BKPF,0,1,,225004,,,20002M02,,1000,1000,,,,,,,,,-20400,-20400,-1233180,0,0,-20400,H,9,USD,2014,00:00.0,200000952,4,17,,2000,X,20100028,1700102
300,2014,200000953,0L,2000,1,RFBU,,USD,,BKPF,0,1,,225004,,,20002M01,,1000,1000,,,,,,,,,-9379.37,-9379.37,-598872.77,0,0,-9379.37,H,9,USD,2014,00:00.0,200000953,1,17,,2000,X,20100028,1700101
300,2014,200000953,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225004,,,20002M05,,1000,1000,,,,,,,,,2212.96,2212.96,136650.28,0,0,2212.96,S,9,USD,2014,00:00.0,200000953,3,7,,2000,X,20100028,1700101
300,2014,200000953,0L,2000,4,RFBU,,USD,,BKPF,0,1,,225004,,,20002M05,,1000,1000,,,,,,,,,-2912.5,-2912.5,-183196.25,0,0,-2912.5,H,9,USD,2014,00:00.0,200000953,4,17,,2000,X,20100028,1700101
300,2014,200000954,0L,2000,1,RFBU,,USD,,BKPF,0,1,,225004,,,20002M01,,1000,1000,,,,,,,,,-8362.24,-8362.24,-533929.02,0,0,-8362.24,H,9,USD,2014,00:00.0,200000954,1,17,,2000,X,20100028,1700463
300,2014,200000954,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225004,,,20002M02,,1000,1000,,,,,,,,,-19882.05,-19882.05,-1194911.21,0,0,-19882.05,H,9,USD,2014,00:00.0,200000954,3,17,,2000,X,20100028,1700463
300,2014,200000954,0L,2000,4,RFBU,,USD,,BKPF,0,1,,225004,,,20002M05,,1000,1000,,,,,,,,,-1552.4,-1552.4,-99277.46,0,0,-1552.4,H,9,USD,2014,00:00.0,200000954,3,17,,2000,X,20100028,1700463
300,2014,200000955,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225002,,,20002M06,,1000,1000,,,,,,,,,-17992.5,-17992.5,-1066486.87,0,0,-17992.5,H,9,USD,2014,00:00.0,200000955,3,17,,2000,X,20100028,1700731
300,2014,200000956,0L,2000,1,RFBU,,USD,,BKPF,0,1,,225004,,,20002M06,,1000,1000,,,,,,,,,-4880.52,-4880.52,-311621.2,0,0,-4880.52,H,9,USD,2014,00:00.0,200000956,1,17,,2000,X,20100028,1301566
300,2014,200000956,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225004,,,20002M05,,1000,1000,,,,,,,,,-7191.88,-7191.88,-463228.51,0,0,-7191.88,H,9,USD,2014,00:00.0,200000956,3,17,,2000,X,20100028,1301566
300,2014,200000956,0L,2000,4,RFBU,,USD,,BKPF,0,1,,225004,,,20002M06,,1000,1000,,,,,,,,,-3341.2,-3341.2,-195637,0,0,-3341.2,H,9,USD,2014,00:00.0,200000956,3,17,,2000,X,20100028,1301566
